word,translation,ipa,example,exampleTranslation,level,topic
saucer,блюдце,/ˈsɔː.sər/,She gave the cat a saucer of milk.,Она налила кошке блюдце молока.,B1,Еда
sausage,"сосиска, колбаса",/ˈsɔː.sɪdʒ/,Sausage and eggs are a classic breakfast combo.,Колбаса с яйцами — классическое сочетание на завтрак.,A2,Еда
,,,,,,
save,сохранять (файл),/seɪv/,Save your work!,Сохраните свою работу!,A2,Технологии
say,"говорить, сказать",/seɪ/,What did you say?,Что ты сказал?,A1,Общение
scarf,шарф,/skɑrf/,"Wear a scarf, it's cold.","Надень шарф, холодно",A2,Одежда
schedule,расписание,/ˈskɛʤʊl/,Check the class schedule.,Проверь расписание уроков,A2,Учеба
school,школа,/skul/,My school is close to home.,Моя школа близко к дому,A1,Места
school,учёба в школе,/skul/,School starts in September.,Школа начинается в сентябре,A2,Учеба
schoolchild,школьник,/ˈskuˌlʧaɪld/,Many schoolchildren use the bus.,Многие школьники пользуются автобусом,A2,Учеба
science,"наука, естественные науки",/saɪəns/,I study science.,Я изучаю естественные науки,A2,Учеба
scissors,ножницы,/ˈsɪzərz/,Pass me the scissors.,Передай мне ножницы.,A2,Дом
scooter,"самокат, скутер",/ˈskutər/,Kids love scooters.,Дети любят самокаты,A2,Транспорт
screen,экран,/skrin/,The screen is bright.,Экран яркий,A2,Технологии
scrutinize,тщательно изучать,/ˈskruːtɪnaɪz/,Scrutinize the contract.,,C1,Бизнес
sea,море,/si/,I love the sea.,Я люблю море,A2,Природа
seat,"сиденье, место (для сидения)",/sit/,"Take a seat, please.","Садись, пожалуйста.",A2,Дом
second,второй,/ˈsɛkənd/,She is in the second grade.,Она во втором классе,A1,Числительные (порядковые)
second,секунда,/ˈsɛkənd/,"Wait a second, please.","Подожди секунду, пожалуйста.",A2,Время
secretary,секретарь,/ˈsɛkrəˌtɛri/,The secretary answers the phone.,Секретарь отвечает на телефонные звонки,A2,Профессия
see,видеть (встречать),/si/,I will see you tomorrow.,Я увижу тебя завтра,A1,Общение
see — saw — seen,видеть,/si/,I see a bird.,Я вижу птицу.,A1,Действия
See you later!,"до встречи, увидимся позже",/si ju ˈleɪtər/,"See you later, alligator. / See you later this evening.",Увидимся позже,A1,Общение
See you soon!,"увидимся скоро, до скорой встречи",/si ju sun/,"See you soon, take care. / See you soon at the party.","Увидимся скоро, береги себя",A1,Общение
See you tomorrow!,увидимся завтра,/si ju təˈmɑˌroʊ/,See you tomorrow at school.,Увидимся завтра в школе,A1,Общение
See you!,увидимся,/si ju/,"See you, I have to go.","Пока, мне нужно идти",A1,Общение
sell,продавать,/sɛl/,They sell fresh fruit.,Они продают свежие фрукты,A2,Покупки
semester,семестр,/səˈmɛstər/,This semester is busy.,Этот семестр насыщенный,A2,Учеба
send — sent — sent,отправлять,/sɛnd/,I will send you a letter.,Я отправлю тебе письмо.,A1,Действия
sentence,предложение (грамм.),/ˈsɛntəns/,Write a sentence in English.,Напиши предложение на английском,A1,Общение
September,сентябрь,/sɛpˈtɛmbər/,School starts in September.,Школа начинается в сентябре,A1,Месяцы
serendipity,счастливая случайность,/ˌsɛrənˈdɪpɪti/,Meeting you was pure serendipity.,,C2,Абстрактные
,,,,,,
service,"чаевые, сервисный сбор",/ˈsɜr.vɪs/,Is service included in the bill?,Сервисный сбор включён в счёт?,B2,Еда
set,"набор, комплект",/sɛt/,A set of tools.,Набор инструментов,A2,Описания
seven,семь,/ˈsɛvən/,There are seven days in a week.,В неделе семь дней,A1,Числа
seven,семь,/ˈsev.ən/,There are seven days in a week.,В неделе семь дней.,A1,Числа
seventeen,семнадцать,/ˌsɛvənˈtin/,She will be seventeen in May.,Ей исполнится семнадцать в мае,A1,Числа
seventeen,семнадцать,/sev.ənˈtiːn/,She will be seventeen in May.,Ей исполнится семнадцать в мае.,A2,Числа
seventh,седьмой,/ˈsɛvənθ/,The seventh day is Sunday.,Седьмой день — воскресенье,A2,Числительные (порядковые)
seventy,семьдесят,/ˈsɛvənti/,She is seventy years old.,Ей семьдесят лет,A2,Числа
several,несколько,/ˈsɛvərəl/,Several people called.,Несколько человек позвонили,A2,Описания
shampoo,шампунь,/ʃæmˈpu/,I need new shampoo.,Мне нужен новый шампунь.,A2,Покупки
,,,,,,
she,она,/ʃi/,She is my sister.,Она моя сестра,A1,Местоимения
sheep,овца,/ʃip/,The sheep eat grass.,Овцы едят траву,A1,Природа
shelf,полка,/ʃɛlf/,Put the books on the shelf.,Поставь книги на полку.,A2,Дом
ship,корабль,/ʃɪp/,The ship is in the harbor.,Корабль находится в гавани,A2,Транспорт
shirt,рубашка,/ʃərt/,His shirt is white.,Его рубашка белая,A1,Одежда
shoe,"туфля, ботинок",/ʃu/,I lost one shoe.,Я потерял один ботинок,A1,Одежда
shop,магазин,/ʃɑp/,Let's go to the shop.,Пойдём в магазин,A2,Покупки
shopping,покупки,/ˈʃɑpɪŋ/,I love shopping for clothes.,Я люблю покупать одежду,A1,Покупки
short,"короткий, низкий",/ʃɔrt/,She has short hair.,У неё короткие волосы,A1,Описания
short,короткий (время),/ʃɔrt/,I took a short nap.,Я вздремнул,A1,Описания
short,короткий (текст),/ʃɔrt/,Send a short message.,Отправь короткое сообщение,A2,Описания
shorts,шорты,/ʃɔrts/,I wear shorts in summer.,Я ношу шорты летом,A2,Одежда
should,"следует, должен (совет)",/ʃʊd/,You should rest.,Тебе следует отдохнуть,A2,Служебные слова
shout,кричать,/ʃaʊt/,Don't shout at me.,Не кричи на меня,A2,Общение
show,"шоу, передача",/ʃoʊ/,The show starts at seven.,Шоу начинается в семь,A2,Медиа
show — showed — shown,показывать,/ʃoʊ/,Show me your new car.,Покажи мне свою новую машину.,A1,Действия
shower,душ (оборудование),/ʃaʊər/,The shower is hot.,Душ горячий.,A1,Дом
shut — shut — shut,закрывать,/ʃət/,"Shut the door, please.","Закрой дверь, пожалуйста.",A2,Действия
sick,больной,/sɪk/,I am sick today.,Я сегодня болен,A2,Тело и здоровье
side,"край, бок",/saɪd/,The side of the road.,Обочина дороги,A2,Описания
sightseeing,осмотр достопримечательностей,/ˈsaɪtˌsiɪŋ/,We go sightseeing in Rome.,Мы едем осматривать достопримечательности в Рим,A2,Транспорт
sign,"знак, вывеска",/saɪn/,The sign says 'Open'.,На табличке написано «Открыто»,A2,Общение
silver,серебро,/ˈsɪlvər/,Silver is a metal.,Серебро — это металл,A2,Природа
simple,простой,/ˈsɪmpəl/,A simple question.,Простой вопрос,A2,Описания
since,с (о времени),/sɪns/,I've lived here since 2010.,Я живу здесь с 2010 года.,A2,Время
